Organization,Country,Lattitude,Longitude,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date
Corkery-Steuber,Netherlands,52.370216,4.895168,IT & IT Services,Medium (201-500),Jessica Martinez,05/05/24,Services,Qualified,2,,,782,60,10/16/24,
"Bergnaum, Koch and Rutherford",Germany,52.520008,13.404954,Professional Services  & Consulting,Medium (201-500),Laura Thompson,03/15/24,Services,Qualified,2,,,7885,10,06/07/24,
"Herman, Doyle and Hilpert",Portugal,38.736946,-9.142685,Government Administration Healthcare,Medium (201-500),Jessica Martinez,03/27/24,Services,Qualified,2,,,2409,30,02/27/25,
"D'Amore, Marvin and Jacobs",Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),Laura Thompson,03/23/24,Services,Qualified,2,,,1661,30,01/29/25,
Upton-Abshire,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Michael Brown,03/15/24,SAAS,Qualified,2,,,6285,50,09/19/24,
Cormier-Schulist,Spain,40.416775,-3.70379,IT & IT Services,Medium (201-500),Laura Thompson,01/15/24,Services,Qualified,2,,,7964,40,03/02/24,
Schowalter LLC,Switzerland,46.204391,6.143158,Telecommunications,Medium (201-500),Emily Johnson,02/03/24,Services,Qualified,2,,,5051,20,09/11/24,
Runolfsson-Hudson,France,48.864716,2.349014,Government Administration Healthcare,Medium (201-500),John Smith,03/15/24,SAAS,Qualified,2,,,632,50,12/11/24,
Hudson-Hahn,Netherlands,52.370216,4.895168,Professional Services  & Consulting,Medium (201-500),Jessica Martinez,03/20/24,Services,Qualified,2,,,1725,30,08/21/24,
"Leannon, Yost and Nitzsche",Portugal,38.736946,-9.142685,Transportation & Logistics,Medium (201-500),Laura Thompson,05/13/24,Services,Qualified,2,,,5678,60,04/16/25,
"Denesik, Swaniawski and Schulist",France,48.864716,2.349014,Manufacturing & Production,Medium (201-500),Sarah Davis,04/10/24,Services,Qualified,2,,,4954,30,11/07/24,
"Price, Haley and Satterfield",Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Kevin Anderson,01/12/24,Services,Qualified,2,,,4879,20,07/17/24,
Witting Group,Portugal,38.736946,-9.142685,Government Administration Healthcare,Medium (201-500),Michael Brown,03/31/24,Services,Qualified,2,,,1183,30,11/24/24,
Funk-Kuphal,France,48.864716,2.349014,IT & IT Services,Medium (201-500),Laura Thompson,03/27/24,SAAS,Qualified,2,,,5257,100,12/15/24,
"Collier, Rempel and Kertzmann",Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Laura Thompson,05/19/24,SAAS,Qualified,2,,,830,40,06/30/24,
Lang-Halvorson,Spain,40.416775,-3.70379,Government Administration Healthcare,Medium (201-500),Sarah Davis,05/13/24,Services,Qualified,2,,,2420,60,03/20/25,
Kovacek-Quigley,Italy,41.902782,12.496366,Energy & Utilities,Medium (201-500),Michael Brown,02/25/24,SAAS,Qualified,2,,,2956,40,02/24/25,
Howell-Weimann,Spain,40.416775,-3.70379,Government Administration Healthcare,Medium (201-500),Jessica Martinez,01/13/24,Services,Qualified,2,,,6011,50,05/29/24,
Beatty-Marvin,Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Kevin Anderson,03/16/24,SAAS,Qualified,2,,,2199,20,09/21/24,
Miller LLC,France,48.864716,2.349014,Banking and Finance,Medium (201-500),David Wilson,04/15/24,Services,Qualified,2,,,3395,50,05/29/24,
Mosciski-Buckridge,France,48.864716,2.349014,Education & Science,Medium (201-500),Sarah Davis,01/03/24,Custom solution,Qualified,2,,,6029,40,12/24/24,
Harber-Ebert,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Emily Johnson,03/14/24,Services,Qualified,2,,,1413,70,12/13/24,
"Mann, Bogan and Reilly",Portugal,38.736946,-9.142685,Transportation & Logistics,Medium (201-500),John Smith,03/25/24,Services,Qualified,2,,,6922,90,01/03/25,
"Aufderhar, Metz and Casper",Switzerland,46.204391,6.143158,Transportation & Logistics,Medium (201-500),Jessica Martinez,03/02/24,SAAS,Qualified,2,,,6394,30,06/19/24,
"Reichert, Gislason and Koepp",Italy,41.902782,12.496366,Education & Science,Medium (201-500),Jessica Martinez,03/05/24,Services,Qualified,2,,,7411,20,05/18/24,
Carroll-Bogisich,Germany,52.520008,13.404954,Retail & Distribution,Medium (201-500),Michael Brown,01/30/24,Services,Qualified,2,,,1343,100,11/13/24,
"Batz, Wisozk and Hamill",Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Emily Johnson,04/12/24,SAAS,Qualified,2,,,667,40,10/10/24,
"Leuschke, Beer and White",France,48.864716,2.349014,Energy & Utilities,Medium (201-500),John Smith,03/01/24,Custom solution,Qualified,2,,,4704,90,08/24/24,
Kutch-Cronin,Germany,52.520008,13.404954,Agriculture & Mining,Medium (201-500),Emily Johnson,02/28/24,Services,Qualified,2,,,1937,70,12/09/24,
"Parisian, Volkman and Gerhold",Belgium,51.260197,4.402771,Professional Services  & Consulting,Medium (201-500),Emily Johnson,05/24/24,Services,Qualified,2,,,3060,20,07/12/24,
"Stanton, Smith and Bernhard",Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Laura Thompson,02/04/24,Services,Qualified,2,,,656,60,08/09/24,
Ryan-Schimmel,Germany,52.520008,13.404954,Professional Services  & Consulting,Medium (201-500),Emily Johnson,01/17/24,Services,Qualified,2,,,6655,60,06/25/24,
Cronin Group,Germany,52.520008,13.404954,Professional Services  & Consulting,Medium (201-500),Kevin Anderson,05/05/24,Services,Qualified,2,,,7229,70,10/24/24,
"Kautzer, Hodkiewicz and Bode",Germany,52.520008,13.404954,Professional Services  & Consulting,Medium (201-500),Jessica Martinez,04/11/24,Custom solution,Qualified,2,,,549,60,01/20/25,
Labadie Inc,Switzerland,46.204391,6.143158,Professional Services  & Consulting,Medium (201-500),Laura Thompson,04/27/24,Services,Qualified,2,,,5561,40,04/08/25,
Mertz-Koelpin,Spain,40.416775,-3.70379,IT & IT Services,Medium (201-500),David Wilson,03/29/24,Custom solution,Qualified,2,,,4742,10,07/09/24,
"Dietrich, Stehr and Herman",Germany,52.520008,13.404954,Education & Science,Medium (201-500),Sarah Davis,05/16/24,Custom solution,Qualified,2,,,2684,50,06/24/24,
"Prohaska, Christiansen and Yost",Spain,40.416775,-3.70379,Professional Services  & Consulting,Medium (201-500),Jessica Martinez,01/22/24,SAAS,Qualified,2,,,3052,30,04/18/24,
Walker Group,Italy,41.902782,12.496366,Manufacturing & Production,Medium (201-500),Laura Thompson,04/10/24,Services,Qualified,2,,,2877,100,02/01/25,
"Monahan, Pfannerstill and Lindgren",Austria,48.210033,16.363449,Recreation & Sports,Medium (201-500),Sarah Davis,01/11/24,Services,Qualified,2,,,2716,30,12/31/24,
Boehm Inc,Germany,52.520008,13.404954,Education & Science,Medium (201-500),Jessica Martinez,02/23/24,SAAS,Qualified,2,,,4548,20,08/03/24,
Bins-Hodkiewicz,Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Laura Thompson,04/18/24,Services,Qualified,2,,,7713,60,10/16/24,
O'Reilly-Heller,Netherlands,52.370216,4.895168,Transportation & Logistics,Medium (201-500),Kevin Anderson,04/06/24,SAAS,Qualified,2,,,3681,40,06/29/24,
Baumbach and Sons,Netherlands,52.370216,4.895168,Construction & Engineering,Medium (201-500),John Smith,04/21/24,SAAS,Qualified,2,,,4976,20,11/02/24,
Brekke Inc,France,48.864716,2.349014,Transportation & Logistics,Medium (201-500),Jessica Martinez,01/16/24,Services,Qualified,2,,,4089,40,09/10/24,
"Bauch, Fadel and Reichert",Belgium,51.260197,4.402771,Agriculture & Mining,Medium (201-500),Kevin Anderson,02/16/24,SAAS,Qualified,2,,,2882,20,03/12/24,
"Wolf, Halvorson and Koepp",Italy,41.902782,12.496366,Manufacturing & Production,Medium (201-500),Kevin Anderson,01/03/24,Custom solution,Qualified,2,,,6936,40,03/09/24,
"Boehm, Satterfield and Quigley",France,48.864716,2.349014,Transportation & Logistics,Medium (201-500),Michael Brown,01/29/24,SAAS,Qualified,2,,,7679,20,04/03/24,
Marquardt-Bergnaum,Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Jessica Martinez,01/09/24,Services,Qualified,2,,,3169,50,11/21/24,
"Bashirian, Wiegand and Jerde",Germany,52.520008,13.404954,Professional Services  & Consulting,Medium (201-500),Emily Johnson,02/06/24,Custom solution,Qualified,2,,,1182,10,05/17/24,
"Beatty, Baumbach and Lubowitz",Switzerland,46.204391,6.143158,IT & IT Services,Medium (201-500),Sarah Davis,02/06/24,Services,Qualified,2,,,3183,50,07/06/24,
"Pouros, Boyle and Ullrich",Belgium,51.260197,4.402771,IT & IT Services,Medium (201-500),Sarah Davis,05/01/24,Services,Qualified,2,,,4996,40,01/03/25,
Brakus-Metz,France,48.864716,2.349014,Professional Services  & Consulting,Medium (201-500),Michael Brown,02/27/24,Custom solution,Qualified,2,,,7982,20,07/14/24,
Dibbert Group,Netherlands,52.370216,4.895168,Transportation & Logistics,Medium (201-500),Laura Thompson,02/05/24,Custom solution,Qualified,2,,,2860,40,10/18/24,
Weimann-Will,Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Laura Thompson,04/01/24,SAAS,Qualified,2,,,2517,20,12/02/24,
Weimann-Dibbert,Italy,41.902782,12.496366,Professional Services  & Consulting,Medium (201-500),David Wilson,02/25/24,SAAS,Qualified,2,,,7513,40,12/05/24,
Hettinger-Gleason,Italy,41.902782,12.496366,Education & Science,Medium (201-500),Jessica Martinez,04/15/24,SAAS,Qualified,2,,,1920,40,10/14/24,
Ritchie and Sons,Spain,40.416775,-3.70379,Banking and Finance,Medium (201-500),Laura Thompson,01/02/24,Custom solution,Qualified,2,,,7974,60,10/09/24,
"Mann, Erdman and O'Keefe",France,48.864716,2.349014,Banking and Finance,Medium (201-500),Laura Thompson,05/01/24,SAAS,Qualified,2,,,7600,40,07/06/24,
"Herzog, Legros and Wuckert",Spain,40.416775,-3.70379,Professional Services  & Consulting,Medium (201-500),Laura Thompson,02/06/24,SAAS,Qualified,2,,,294,40,12/21/24,
"Schuster, Spencer and Gerhold",Belgium,51.260197,4.402771,Retail & Distribution,Medium (201-500),Michael Brown,02/26/24,Services,Qualified,2,,,6756,60,03/21/24,
"Hodkiewicz, Toy and Konopelski",Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Jessica Martinez,04/19/24,Custom solution,Qualified,2,,,6193,40,06/22/24,
Larkin-Little,Switzerland,46.204391,6.143158,Manufacturing & Production,Medium (201-500),Kevin Anderson,02/05/24,Custom solution,Qualified,2,,,497,100,04/29/24,
Schmidt LLC,France,48.864716,2.349014,Retail & Distribution,Medium (201-500),David Wilson,02/28/24,SAAS,Qualified,2,,,1304,20,10/08/24,
Murray-Watsica,Italy,41.902782,12.496366,Construction & Engineering,Medium (201-500),Kevin Anderson,03/08/24,Services,Qualified,2,,,3809,90,04/26/24,
Boyer Group,Austria,48.210033,16.363449,Banking and Finance,Medium (201-500),Michael Brown,01/30/24,Services,Qualified,2,,,310,40,03/18/24,
"Stroman, Block and Koepp",Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Michael Brown,02/14/24,Services,Qualified,2,,,1032,60,08/28/24,
Johnson and Sons,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),David Wilson,05/24/24,SAAS,Qualified,2,,,6064,60,03/07/25,
Mueller-Conn,Italy,41.902782,12.496366,Energy & Utilities,Medium (201-500),Jessica Martinez,03/23/24,Services,Qualified,2,,,6973,30,07/11/24,
Balistreri-Schultz,Austria,48.210033,16.363449,Banking and Finance,Medium (201-500),Michael Brown,01/28/24,SAAS,Qualified,2,,,2036,60,08/22/24,
Cruickshank Group,Spain,40.416775,-3.70379,IT & IT Services,Medium (201-500),Laura Thompson,01/21/24,Services,Qualified,2,,,6005,100,09/29/24,
Homenick Group,Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),David Wilson,01/15/24,SAAS,Qualified,2,,,5627,20,03/15/24,
Muller LLC,Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Michael Brown,01/09/24,Custom solution,Qualified,2,,,6932,100,06/03/24,
Schuster LLC,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),David Wilson,01/21/24,Services,Qualified,2,,,6150,50,11/09/24,
"Dare, Tillman and Becker",France,48.864716,2.349014,IT & IT Services,Medium (201-500),Laura Thompson,03/16/24,SAAS,Qualified,2,,,1581,30,11/07/24,
"Nolan, Maggio and Hoeger",France,48.864716,2.349014,Professional Services  & Consulting,Medium (201-500),Sarah Davis,03/24/24,Services,Qualified,2,,,471,50,06/02/24,
Hermiston-Bergstrom,Germany,52.520008,13.404954,Telecommunications,Medium (201-500),Laura Thompson,01/22/24,SAAS,Qualified,2,,,1243,40,09/24/24,
Bradtke and Sons,Portugal,38.736946,-9.142685,Government Administration Healthcare,Medium (201-500),Michael Brown,03/10/24,Services,Qualified,2,,,580,40,10/14/24,
Cruickshank and Sons,Germany,52.520008,13.404954,Government Administration Healthcare,Medium (201-500),Laura Thompson,02/04/24,Services,Qualified,2,,,4648,70,09/02/24,
Wolff Inc,Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Laura Thompson,05/02/24,SAAS,Qualified,2,,,1296,60,02/24/25,
Lockman-O'Connell,Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Laura Thompson,03/08/24,Services,Qualified,2,,,4501,30,05/27/24,
Stehr-Maggio,France,48.864716,2.349014,Banking and Finance,Medium (201-500),Kevin Anderson,02/15/24,Services,Qualified,2,,,374,20,08/27/24,
Schaefer-O'Keefe,Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Michael Brown,03/10/24,Services,Qualified,2,,,1614,50,10/23/24,
Rempel-Greenfelder,Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Michael Brown,02/14/24,SAAS,Qualified,2,,,5847,60,12/22/24,
Berge Inc,Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Michael Brown,04/07/24,Services,Qualified,2,,,1232,20,11/29/24,
Powlowski-Simonis,France,48.864716,2.349014,Transportation & Logistics,Medium (201-500),Michael Brown,03/20/24,Services,Qualified,2,,,6728,40,04/14/24,
Prohaska-Kuvalis,France,48.864716,2.349014,IT & IT Services,Medium (201-500),Michael Brown,03/09/24,Services,Qualified,2,,,5807,40,02/26/25,
Brakus-Simonis,Austria,48.210033,16.363449,Banking and Finance,Medium (201-500),Jessica Martinez,03/25/24,SAAS,Qualified,2,,,5401,40,04/25/24,
"Tillman, VonRueden and Ondricka",Spain,40.416775,-3.70379,Construction & Engineering,Medium (201-500),Michael Brown,01/15/24,Services,Qualified,2,,,1613,30,06/21/24,
Batz Inc,Austria,48.210033,16.363449,IT & IT Services,Medium (201-500),Kevin Anderson,05/09/24,Services,Qualified,2,,,7169,50,03/08/25,
Medhurst and Sons,Germany,52.520008,13.404954,Government Administration Healthcare,Medium (201-500),Laura Thompson,01/27/24,Custom solution,Qualified,2,,,1803,20,12/24/24,
Schoen Inc,Germany,52.520008,13.404954,Professional Services  & Consulting,Medium (201-500),Michael Brown,02/09/24,SAAS,Qualified,2,,,663,10,05/28/24,
Toy-Grady,Switzerland,46.204391,6.143158,Banking and Finance,Medium (201-500),Laura Thompson,05/19/24,Services,Qualified,2,,,885,70,01/29/25,
Keeling and Sons,Portugal,38.736946,-9.142685,Professional Services  & Consulting,Medium (201-500),Laura Thompson,01/27/24,Services,Qualified,2,,,7571,40,05/25/24,
Gusikowski and Sons,Italy,41.902782,12.496366,Agriculture & Mining,Medium (201-500),John Smith,04/27/24,Services,Qualified,2,,,5058,30,04/22/25,
"Bahringer, Jerde and Dibbert",Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Laura Thompson,01/15/24,SAAS,Qualified,2,,,4828,60,07/16/24,
Murray-Koepp,Switzerland,46.204391,6.143158,Banking and Finance,Medium (201-500),Jessica Martinez,05/16/24,Services,Qualified,2,,,5923,80,03/30/25,
Erdman-Beahan,France,48.864716,2.349014,Telecommunications,Medium (201-500),Emily Johnson,05/14/24,Services,Qualified,2,,,2433,30,08/27/24,
Hayes LLC,Netherlands,52.370216,4.895168,Energy & Utilities,Medium (201-500),Laura Thompson,01/13/24,SAAS,Qualified,2,,,7461,40,01/01/25,
"Kutch, Bauch and Heathcote",France,48.864716,2.349014,Government Administration Healthcare,Medium (201-500),Laura Thompson,03/26/24,SAAS,Qualified,2,,,3504,70,03/08/25,
Heathcote-Hettinger,Switzerland,46.204391,6.143158,IT & IT Services,Medium (201-500),Laura Thompson,03/25/24,SAAS,Qualified,2,,,7764,40,09/16/24,
Powlowski-Kuhlman,Spain,40.416775,-3.70379,Telecommunications,Medium (201-500),Michael Brown,01/23/24,Services,Qualified,2,,,2029,40,12/16/24,
"Wyman, Becker and Mueller",France,48.864716,2.349014,Recreation & Sports,Medium (201-500),Emily Johnson,01/28/24,Custom solution,Qualified,2,,,3810,40,12/28/24,
Rosenbaum-Conn,Spain,40.416775,-3.70379,Professional Services  & Consulting,Medium (201-500),Jessica Martinez,03/08/24,Services,Qualified,2,,,6263,40,02/03/25,
Rolfson-Kub,Spain,40.416775,-3.70379,Transportation & Logistics,Medium (201-500),Michael Brown,03/25/24,SAAS,Qualified,2,,,5414,50,10/03/24,
Fahey-Zulauf,Germany,52.520008,13.404954,Banking and Finance,Medium (201-500),John Smith,04/15/24,Services,Qualified,2,,,2200,50,03/30/25,
Brakus Group,France,48.864716,2.349014,Manufacturing & Production,Medium (201-500),Michael Brown,02/14/24,SAAS,Qualified,2,,,3651,70,09/30/24,
"Fay, Barrows and Walter",Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),David Wilson,01/19/24,Services,Qualified,2,,,7926,70,05/12/24,
Jerde Group,Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Laura Thompson,05/19/24,SAAS,Qualified,2,,,4444,100,07/24/24,
Quigley LLC,Belgium,51.260197,4.402771,Banking and Finance,Medium (201-500),Jessica Martinez,04/06/24,Custom solution,Qualified,2,,,7369,50,04/02/25,
"Daugherty, Bednar and Ebert",Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Jessica Martinez,01/29/24,Services,Qualified,2,,,3710,50,01/17/25,
Ondricka and Sons,Austria,48.210033,16.363449,IT & IT Services,Medium (201-500),Jessica Martinez,01/22/24,SAAS,Qualified,2,,,7763,30,11/15/24,
Towne-Kuhlman,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Michael Brown,04/23/24,Services,Qualified,2,,,6622,50,12/17/24,
Feest-Beahan,France,48.864716,2.349014,Transportation & Logistics,Medium (201-500),Laura Thompson,04/18/24,Custom solution,Qualified,2,,,2546,20,08/10/24,
Roob and Sons,Italy,41.902782,12.496366,Professional Services  & Consulting,Medium (201-500),Emily Johnson,01/06/24,SAAS,Qualified,2,,,2304,20,01/26/24,
Monahan Group,Portugal,38.736946,-9.142685,Transportation & Logistics,Medium (201-500),Emily Johnson,02/27/24,SAAS,Qualified,2,,,7126,80,02/04/25,
Will Inc,Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),Laura Thompson,04/05/24,SAAS,Qualified,2,,,1460,20,10/13/24,
"Balistreri, Keeling and Prohaska",Switzerland,46.204391,6.143158,Professional Services  & Consulting,Medium (201-500),Emily Johnson,05/06/24,SAAS,Qualified,2,,,4046,20,02/03/25,
Thiel-Wilderman,France,48.864716,2.349014,Transportation & Logistics,Medium (201-500),Kevin Anderson,04/23/24,SAAS,Qualified,2,,,4782,50,01/06/25,
Gleason Inc,Belgium,51.260197,4.402771,Transportation & Logistics,Medium (201-500),Kevin Anderson,05/29/24,Custom solution,Qualified,2,,,3974,50,03/02/25,
"Bailey, Wehner and Schimmel",Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Michael Brown,05/04/24,SAAS,Qualified,2,,,6936,30,09/17/24,
Zulauf-Kemmer,France,48.864716,2.349014,IT & IT Services,Medium (201-500),Laura Thompson,05/02/24,Custom solution,Qualified,2,,,7662,50,08/04/24,
Torphy-Weissnat,Portugal,38.736946,-9.142685,IT & IT Services,Medium (201-500),Michael Brown,02/24/24,SAAS,Qualified,2,,,7867,10,01/19/25,
Wyman-Luettgen,Germany,52.520008,13.404954,Manufacturing & Production,Medium (201-500),Michael Brown,03/11/24,SAAS,Qualified,2,,,7425,30,10/13/24,
"Kihn, Corkery and Dach",France,48.864716,2.349014,Transportation & Logistics,Medium (201-500),Jessica Martinez,02/13/24,Custom solution,Qualified,2,,,6734,30,12/11/24,
Braun LLC,Germany,52.520008,13.404954,IT & IT Services,Medium (201-500),Jessica Martinez,01/23/24,Custom solution,Qualified,2,,,1252,90,01/19/25,
"Bailey, Ratke and Miller",Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Michael Brown,04/20/24,Custom solution,Qualified,2,,,3722,20,05/24/24,
Becker-Heaney,Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),David Wilson,03/06/24,Services,Qualified,2,,,4195,100,06/20/24,
"O'Hara, Stark and Kunde",Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Laura Thompson,03/18/24,Services,Qualified,2,,,471,10,12/28/24,
Twimm,Belgium,51.260197,4.402771,Recreation & Sports,Large (501-1000),Jessica Martinez,04/23/24,Custom solution,Qualified,2,,,6401,30,11/14/24,
Bubbletube,France,48.864716,2.349014,Retail & Distribution,Large (501-1000),Laura Thompson,02/15/24,Custom solution,Qualified,2,,,3509,50,01/03/25,
"O'Conner, Bradtke and Hilll",Netherlands,52.370216,4.895168,Recreation & Sports,Large (501-1000),John Smith,04/16/24,Services,Qualified,2,,,15613,20,03/17/25,
Dietrich-Murphy,Portugal,38.736946,-9.142685,Professional Services  & Consulting,Large (501-1000),Emily Johnson,03/09/24,SAAS,Qualified,2,,,17391,50,04/26/24,
"Price, Huels and Olson",France,48.864716,2.349014,IT & IT Services,Large (501-1000),Michael Brown,03/31/24,Custom solution,Qualified,2,,,8728,50,12/06/24,
Rolfson Inc,Spain,40.416775,-3.70379,Transportation & Logistics,Large (501-1000),Laura Thompson,03/10/24,SAAS,Qualified,2,,,19944,30,10/29/24,
"Sipes, Pollich and Hilll",Germany,52.520008,13.404954,Transportation & Logistics,Large (501-1000),John Smith,01/05/24,Services,Qualified,2,,,16407,20,08/07/24,
Rempel-Brekke,Italy,41.902782,12.496366,Banking and Finance,Large (501-1000),Laura Thompson,04/14/24,Custom solution,Qualified,2,,,9178,30,10/16/24,
Osinski-Wilderman,Germany,52.520008,13.404954,Transportation & Logistics,Large (501-1000),Michael Brown,05/12/24,Custom solution,Qualified,2,,,18690,20,11/21/24,
McDermott-Mayer,France,48.864716,2.349014,Entertainment & Media & Hospitality,Large (501-1000),Jessica Martinez,05/26/24,SAAS,Qualified,2,,,11651,10,03/24/25,
Ailane,Germany,52.520008,13.404954,Banking and Finance,Enterprise (1001+),Kevin Anderson,03/04/24,SAAS,Qualified,2,,,18590,100,06/05/24,
Gabspot,Germany,52.520008,13.404954,Manufacturing & Production,Enterprise (1001+),John Smith,01/20/24,SAAS,Qualified,2,,,3572,20,10/08/24,
Abernathy-Collins,Belgium,51.260197,4.402771,Transportation & Logistics,Enterprise (1001+),Emily Johnson,05/24/24,Services,Qualified,2,,,18831,30,10/22/24,
Reynolds and Sons,Belgium,51.260197,4.402771,Telecommunications,Enterprise (1001+),Jessica Martinez,01/18/24,Services,Qualified,2,,,11323,60,05/18/24,
Klein Inc,Spain,40.416775,-3.70379,Transportation & Logistics,Enterprise (1001+),Jessica Martinez,05/23/24,Services,Qualified,2,,,6239,100,04/27/25,
"Pollich, Dietrich and Becker",Portugal,38.736946,-9.142685,Education & Science,Enterprise (1001+),Emily Johnson,03/23/24,Custom solution,Qualified,2,,,4196,10,01/22/25,
Farrell-Rippin,Netherlands,52.370216,4.895168,Telecommunications,Enterprise (1001+),Jessica Martinez,05/06/24,Custom solution,Qualified,2,,,4265,40,03/24/25,
"Funk, Conroy and Hudson",Netherlands,52.370216,4.895168,Telecommunications,Enterprise (1001+),Emily Johnson,02/08/24,Custom solution,Qualified,2,,,19873,30,12/31/24,
Tillman and Sons,Italy,41.902782,12.496366,Telecommunications,Enterprise (1001+),Jessica Martinez,03/09/24,Services,Qualified,2,,,13179,90,07/05/24,
Mills-Graham,Switzerland,46.204391,6.143158,Professional Services  & Consulting,Enterprise (1001+),Michael Brown,03/18/24,Custom solution,Qualified,2,,,19826,30,01/02/25,
"D'Amore, Kihn and Pfeffer",Italy,41.902782,12.496366,Government Administration Healthcare,Enterprise (1001+),John Smith,01/07/24,Custom solution,Qualified,2,,,13457,20,06/25/24,
Twitterlist,Belgium,51.260197,4.402771,Recreation & Sports,Small (11-200),Jessica Martinez,05/21/24,SAAS,Sales Accepted,4,,,388,20,04/17/25,
Rhynyx,France,48.864716,2.349014,Transportation & Logistics,Small (11-200),Laura Thompson,03/12/24,SAAS,Sales Accepted,4,,,826,50,09/12/24,
Gevee,Germany,52.520008,13.404954,Banking and Finance,Small (11-200),Michael Brown,05/15/24,SAAS,Sales Accepted,4,,,465,100,11/07/24,
Jaxbean,Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),David Wilson,02/19/24,SAAS,Sales Accepted,4,,,1869,30,11/21/24,
Fanoodle,Austria,48.210033,16.363449,Agriculture & Mining,Small (11-200),Laura Thompson,01/08/24,Services,Sales Accepted,4,,,1673,40,06/20/24,
Browseblab,Italy,41.902782,12.496366,Government Administration Healthcare,Small (11-200),Michael Brown,01/30/24,Services,Sales Accepted,4,,,1064,90,02/20/24,
Browsedrive,Switzerland,46.204391,6.143158,Energy & Utilities,Small (11-200),Laura Thompson,05/02/24,SAAS,Sales Accepted,4,,,697,30,10/15/24,
Shufflester,Spain,40.416775,-3.70379,Banking and Finance,Small (11-200),Jessica Martinez,01/09/24,SAAS,Sales Accepted,4,,,1099,50,01/30/24,
Katz,Switzerland,46.204391,6.143158,Telecommunications,Small (11-200),David Wilson,02/12/24,Custom solution,Sales Accepted,4,,,1422,30,01/16/25,
Flipstorm,Spain,40.416775,-3.70379,Education & Science,Small (11-200),John Smith,05/09/24,Custom solution,Sales Accepted,4,,,840,50,08/16/24,
Zoonoodle,Italy,41.902782,12.496366,Education & Science,Small (11-200),Laura Thompson,03/21/24,Services,Sales Accepted,4,,,1058,40,06/27/24,
JumpXS,Belgium,51.260197,4.402771,Agriculture & Mining,Small (11-200),Kevin Anderson,01/06/24,Services,Sales Accepted,4,,,1598,30,03/17/24,
Edgeify,Portugal,38.736946,-9.142685,Government Administration Healthcare,Small (11-200),Jessica Martinez,02/16/24,SAAS,Sales Accepted,4,,,669,20,07/18/24,
Kwimbee,Germany,52.520008,13.404954,Entertainment & Media & Hospitality,Small (11-200),Kevin Anderson,02/15/24,Services,Sales Accepted,4,,,1790,20,03/21/24,
Rhyzio,Portugal,38.736946,-9.142685,Construction & Engineering,Small (11-200),Michael Brown,02/22/24,SAAS,Sales Accepted,4,,,1472,30,10/20/24,
Wordtune,Switzerland,46.204391,6.143158,Banking and Finance,Small (11-200),Jessica Martinez,01/12/24,SAAS,Sales Accepted,4,,,931,50,08/10/24,
Skyble,Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),Jessica Martinez,04/19/24,Services,Sales Accepted,4,,,1715,80,05/28/24,
Oba,Austria,48.210033,16.363449,Professional Services  & Consulting,Small (11-200),Michael Brown,04/12/24,Custom solution,Sales Accepted,4,,,593,40,06/19/24,
Devbug,Switzerland,46.204391,6.143158,Professional Services  & Consulting,Small (11-200),Jessica Martinez,01/23/24,Services,Sales Accepted,4,,,1956,40,12/22/24,
